Position (Up)[Length:m],Value (Up)[Velocity:m/sec]
-0.0119965001940727,110.216957092285
-0.0112186260521412,109.451217651367
-0.0104407500475645,108.370025634766
-0.0100518120452762,107.595710754395
-0.0096628749743104,106.891677856445
-0.00927393790334463,106.307823181152
-0.00888499990105629,105.776473999023
-0.00849606283009052,105.21369934082
-0.00810712482780218,104.591812133789
-0.00771818682551384,103.909851074219
-0.00732924975454807,103.182929992676
-0.00694031268358231,102.409561157227
-0.00655137514695525,101.575454711914
-0.0061624376103282,100.673614501953
-0.00577350007370114,99.7337646484375
-0.00557903107255697,99.1354064941406
-0.00538456253707409,98.6047668457031
-0.00519009353592992,98.1133422851562
-0.00499562500044703,97.6537704467773
-0.00480115646496415,97.2093200683594
-0.00460668746381998,96.7618713378906
-0.0044122189283371,96.2624053955078
-0.00421774992719293,95.6976928710938
-0.00402328139171004,95.096923828125
-0.00382881239056587,94.4540176391602
-0.00373157812282443,94.0772094726562
-0.00363434385508299,93.7143249511719
-0.0035371093545109,93.4091339111328
-0.00343987508676946,93.1315612792969
-0.00334264058619738,92.8115921020508
-0.00324540631845593,92.4302978515625
-0.00314817181788385,92.0205688476562
-0.00305093755014241,91.6164932250977
-0.00295370304957032,91.2074356079102
-0.00285646878182888,90.76611328125
-0.00275923428125679,90.2815933227539
-0.00266199978068471,89.8066329956055
-0.00261338287964463,89.522834777832
-0.00256476551294327,89.3416595458984
-0.00251614837907255,89.1521911621094
-0.00246753124520183,88.9183120727539
-0.00241891411133111,88.6540451049805
-0.00237029697746038,88.3825836181641
-0.00232167961075902,88.112548828125
-0.0022730624768883,87.8479156494141
-0.00222444534301758,87.5798416137695
-0.00217582820914686,87.2814788818359
-0.00212721084244549,86.9399490356445
-0.00207859370857477,86.5755081176758
-0.00202997657470405,86.2063140869141
-0.00198135944083333,85.8275299072266
-0.00193274219054729,85.4333572387695
-0.00188412505667657,85.0354919433594
-0.00183550780639052,84.6584701538086
-0.0017868906725198,84.3153076171875
-0.00173827353864908,83.9988632202148
-0.00168965617194772,83.6964416503906
-0.001641039038077,83.3951873779297
-0.00159242190420628,83.0840530395508
-0.00154380453750491,82.7595367431641
-0.00149518752004951,82.4271240234375
-0.00144657026976347,82.0901260375977
-0.00139795313589275,81.7392578125
-0.00134933588560671,81.3707122802734
-0.00130071875173599,80.9745254516602
-0.00125210161786526,80.5429611206055
-0.00120348436757922,80.0607757568359
-0.0011548672337085,79.5207214355469
-0.00110624998342246,78.9765396118164
-0.00105763284955174,78.4986038208008
-0.00100901559926569,78.0944213867188
-0.000960398465394974,77.6907196044922
-0.000911781273316592,77.2109375
-0.00086316408123821,76.6141662597656
-0.000814546947367489,75.8762130737305
-0.000765929697081447,75.0129165649414
-0.000717312446795404,74.1660079956055
-0.000668695312924683,73.4593048095703
-0.000620078120846301,72.7838897705078
-0.00057146092876792,72.0355224609375
-0.000522843736689538,71.2689208984375
-0.000474226544611156,70.4587631225586
-0.000425609381636605,69.4819717407227
-0.000376992189558223,68.2300567626953
-0.000328374997479841,66.769157409668
-0.000279757805401459,65.2658081054688
-0.000231140613323078,63.4165420532227
-0.000182523435796611,60.6011276245117
-0.000133906243718229,55.873649597168
-8.52890589158051e-05,46.5403442382812
-3.66718741133809e-05,28.2384204864502
-1.26934052158134e-09,16.261402130127
